City_ID,City,Max Temp,Lat,Lng,Hotel Name
0,Victoria,69.85,22.2855,114.1577,Mini Hotel Central
4,Lebu,53.2,-37.6167,-73.65,Hostal Las Lilas
5,Airai,71.8,-8.9266,125.4092,Juvinal Martin
7,Nova Vicosa,75.65,-17.8919,-39.3719,Pousada Porto do Sol
8,Saint-Philippe,72.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Dabhol,71.19,17.6,73.1667,Ashwamedh Resort
10,Henties Bay,58.41,-22.116,14.2845,Fishermans Guest House
11,Fortuna Foothills,78.89,32.6578,-114.4119,Fortuna De Oro RV Park
12,Busselton,66.54,-33.65,115.3333,Observatory Guest House
14,Atuona,78.55,-9.8,-139.0333,Villa Enata
15,Necochea,59.83,-38.5473,-58.7368,dyd -mar Hotel
16,Hilo,76.39,19.7297,-155.09,Hilo Hawaiian Hotel
18,Lagoa,60.15,39.05,-27.9833,Casa Das Faias
19,Wanlaweyn,76.98,2.6185,44.8938,GAASHAAN HOME
20,Cidreira,70.83,-30.1811,-50.2056,Hotel Castelo
22,Rikitea,76.84,-23.1203,-134.9692,People ThankYou
23,Ishigaki,71.73,24.3448,124.1572,Hotel Peace Land Ishigakijima
26,Hermanus,62.08,-34.4187,19.2345,Misty Waves Boutique Hotel
31,Avarua,78.85,-21.2078,-159.775,Paradise Inn
37,Souillac,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Port Alfred,64.36,-33.5906,26.891,The Halyards Hotel
40,Kaabong,66.47,3.4836,34.1492,Rock Motel Ltd
42,Puerto Ayora,69.6,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Cap Malheureux,72.09,-19.9842,57.6142,Pereybere Hotel & Spa
44,East London,66.13,-33.0153,27.9116,Tu Casa
45,Half Moon Bay,65.98,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
47,Carauari,74.52,-4.8828,-66.8958,Hotel Fellip
48,Mahebourg,71.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Victor Harbor,78.89,-35.5667,138.6167,McCracken Country Club
52,Kapaa,76.91,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Mataura,70.99,-46.1927,168.8643,Ellie's Villa
57,Karad,65.75,17.2833,74.2,Hotel Sugam Lodging
58,San Cristobal,73.58,7.7669,-72.225,Posada Villaven C.A.
60,Ribeira Grande,62.13,38.5167,-28.7,Quinta da Meia Eira
62,Santa Maria Del Oro,56.35,25.9333,-105.3667,Hotel Palacio Del Sol
63,Beloha,63.63,-25.1667,45.05,
64,Pasighat,59.94,28.0667,95.3333,Siang Guest House
66,Marzuq,59.83,14.4,46.4667,
67,Yaring,73.44,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
70,Inhambane,70.57,-23.865,35.3833,Oceano
71,Hobart,64.26,-42.8794,147.3294,Mantra on Collins Hobart
73,Hervey Bay,77.11,-25.2986,152.8535,Shelly Bay Resort
74,Georgetown,78.73,5.4112,100.3354,Cititel Penang
76,Hualmay,66.31,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
77,Avera,51.46,33.194,-82.5271,
78,Plettenberg Bay,61.32,-34.0527,23.3716,Thanda Vista B&B
82,Amvrosiyivka,51.01,47.7935,38.4777,Druzhba Hotel
83,Rocha,63.66,-34.4833,-54.3333,Hotel Arrarte
85,Bluff,58.19,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
90,Guerrero Negro,69.3,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
91,Cape Town,61.21,-33.9258,18.4232,Southern Sun Waterfront Cape Town
96,Ilebo,68.83,-4.3167,20.5833,Hôtel BUMAK
99,Luderitz,59.41,-26.6481,15.1594,LÜDERITZ NEST HOTEL
102,Flinders,65.48,-34.5833,150.8552,Shellharbour Resort & Conference Centre
106,Odweyne,67.44,9.4092,45.064,Eng Hiirey House
107,Rio Grande,70.83,-32.035,-52.0986,Hotel Atlântico Rio Grande
109,Port Blair,79.92,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
110,Bucerias,74.32,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
113,Bambous Virieux,71.85,-20.3428,57.7575,Casa Tia Villa
117,Pontianak,75.18,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
119,Vao,75.96,-22.6667,167.4833,Hotel Kou-Bugny
120,Arraial Do Cabo,73.2,-22.9661,-42.0278,Pousada Porto Praia
122,Praia Da Vitoria,50.25,38.7333,-27.0667,Hotel Branco I
123,Los Llanos De Aridane,62.35,28.6585,-17.9182,Valle Aridane
124,Gat,61.48,31.61,34.7642,OlusHome
125,Coihaique,55.35,-45.5752,-72.0662,Diego De Almagro Coyhaique
130,Chuy,64.22,-33.6971,-53.4616,Nuevo Hotel Plaza
132,Carutapera,79.59,-1.195,-46.02,Lidera
134,Padang,78.85,-0.9492,100.3543,Mercure Padang
135,Kaitangata,69.93,-46.2817,169.8464,Kaitangata Motor Camp
138,Porto Belo,75.15,-27.1578,-48.5531,Costa Verde Beach Hotel
139,Ayolas,67.06,-27.4,-56.9,Hotel Ayolas
140,Pontes E Lacerda,73.04,-15.2261,-59.3353,Hotel Bressan
146,Mar Del Plata,62.62,-38.0023,-57.5575,Gran Hotel Mar del Plata
147,Clarence Town,67.91,-32.5833,151.7833,River Downs Cottage
148,Colares,58.19,38.7992,-9.4469,Arribas Sintra Hotel
151,Coquimbo,60.53,-29.9533,-71.3436,Punto de encuentro
152,Zhuhai,69.58,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
154,Acapulco,78.1,16.8634,-99.8901,HS Hotsson Smart Acapulco
160,Castro,68.95,-24.7911,-50.0119,CHACARA BAILLY
162,Marsh Harbour,72.82,26.5412,-77.0636,Abaco Beach Resort
163,Kahului,79.86,20.8947,-156.47,Maui Seaside Hotel
166,Tiznit,54.79,29.5833,-9.5,
167,Vilhena,70.03,-12.7406,-60.1458,Hotel Mirage
168,Takoradi,79.56,4.8845,-1.7554,Raybow International Hotel
169,Sabang,79.74,5.8933,95.3214,Hotel Citra
176,Katwa,63.41,23.6399,88.128,AURS MULTITRADE INDIA
179,Port Elizabeth,62.89,-33.918,25.5701,39 On Nile Guest House
180,Vila Franca Do Campo,59.41,37.7167,-25.4333,Pestana Bahia Praia
182,Warri,77.0,5.5167,5.75,BON Hotel Delta
184,Purranque,61.93,-40.9167,-73.1667,HOSPADAJE ERICA
187,San Patricio,60.66,28.017,-97.5169,"Motel 6 Sinton, TX"
191,Ixtapa,71.96,20.7,-105.2,Hotel Plaza Providencia
192,Tuy Hoa,76.33,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
193,Tura,58.5,25.5198,90.2201,Hotel RIKMAN Continental
194,Goma,61.36,-1.6792,29.2228,Hotel la Versailles Goma
195,Pisco,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
199,Baglung,51.1,28.2719,83.5898,Hotel Peace Palace
200,Cabinda,78.33,-5.55,12.2,Hotel Maiombe
202,Erechim,66.24,-27.6342,-52.2739,Hotel Buongiorno
203,Gambo,71.2,4.6482,22.2633,
205,Lompoc,75.34,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
206,Cascais,58.35,38.6979,-9.4215,Hotel Vila Galé Cascais
207,Lata,52.21,40.1629,-8.3327,Casa Maquia
212,Wukari,73.4,7.85,9.7833,Elimtop
214,Benghazi,71.74,32.1167,20.0667,Tibesti Hotel
216,Ponta Do Sol,65.03,32.6667,-17.1,Hotel do Campo
217,Hambantota,75.54,6.1241,81.1185,Bungalow 63
220,Burnie,59.76,-41.0667,145.9167,Beachfront Voyager Motor Inn
223,Cabo San Lucas,78.1,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Vila Velha,71.55,-20.3297,-40.2925,Quality Suites Vila Velha
225,Alto Araguaia,73.09,-17.3147,-53.2153,Araguaia Palace Hotel
226,Camocim,79.88,-2.9022,-40.8411,Ilha Praia Hotel
227,Buin,77.32,-33.7333,-70.75,Paihuen
230,Bredasdorp,62.91,-34.5322,20.0403,Bredasdorp Country Manor
231,Nelson Bay,68.05,-32.7167,152.15,Mantra Nelson Bay
233,Mbekenyera,68.88,-10.0,38.9833,
234,Lake City,55.44,30.1897,-82.6393,Ramada Limited Lake City
235,Miraflores,65.05,19.2167,-98.8083,Hotel Mansión
236,Diffa,71.24,13.3154,12.6113,ProDAF/Diffa
240,Maneadero,62.6,31.7167,-116.5667,Casa De Thompson
242,Aripuana,75.2,-9.1667,-60.6333,
244,Grootfontein,67.93,-19.5667,18.1167,Meteor Travel Inn
245,Charagua,64.17,-19.8,-63.2167,Hotel
247,Camacha,61.56,33.0833,-16.3333,Hotel Porto Santo & Spa
248,Mount Gambier,77.79,-37.8333,140.7667,The Commodore
249,Puerto Del Rosario,64.15,28.5004,-13.8627,Hotel JM Puerto del Rosario
250,Taltal,62.06,-25.4,-70.4833,Residencial Karime
