City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2021-11-28 20:00:38,-0.6,73.0833,81.52,75,51,17.29
1,Beisfjord,NO,2021-11-28 20:00:38,68.3751,17.5988,23.05,87,98,7.23
2,Luanda,AO,2021-11-28 19:56:39,-8.8368,13.2343,80.6,74,0,6.91
3,Coihaique,CL,2021-11-28 20:00:39,-45.5752,-72.0662,48.02,98,100,7.25
4,Rikitea,PF,2021-11-28 20:00:39,-23.1203,-134.9692,76.33,77,12,16.82
5,Bredasdorp,ZA,2021-11-28 20:00:39,-34.5322,20.0403,63.72,79,16,7.47
6,Qaanaaq,GL,2021-11-28 20:00:40,77.484,-69.3632,-8.3,79,25,7.85
7,Ushuaia,AR,2021-11-28 20:00:06,-54.8,-68.3,47.62,67,36,10.96
8,Port Alfred,ZA,2021-11-28 20:00:40,-33.5906,26.891,66.25,80,8,7.87
9,Hermanus,ZA,2021-11-28 20:00:41,-34.4187,19.2345,64.36,83,62,8.59
10,Poum,NC,2021-11-28 20:00:41,-20.2333,164.0167,79.36,77,55,5.26
11,Fort Nelson,CA,2021-11-28 20:00:42,58.8053,-122.7002,1.04,88,95,2.26
12,Jalu,LY,2021-11-28 20:00:42,29.0331,21.5482,76.53,20,100,12.06
13,Zhigansk,RU,2021-11-28 20:00:42,66.7697,123.3711,-8.7,99,100,5.39
14,Karratha,AU,2021-11-28 20:00:43,-20.7377,116.8463,81.23,62,11,4.41
15,Victoria,HK,2021-11-28 19:57:48,22.2855,114.1577,69.78,69,47,6.42
16,Kaitangata,NZ,2021-11-28 20:00:43,-46.2817,169.8464,53.85,58,100,7.56
17,Castro,BR,2021-11-28 20:00:44,-24.7911,-50.0119,81.28,48,78,4.14
18,Cape Town,ZA,2021-11-28 19:58:40,-33.9258,18.4232,64.81,88,40,4.61
19,Vaini,TO,2021-11-28 20:00:44,-21.2,-175.2,77.56,60,2,18.95
20,Cockburn Town,TC,2021-11-28 20:00:45,21.4612,-71.1419,78.08,76,57,11.27
21,Saint-Philippe,RE,2021-11-28 20:00:45,-21.3585,55.7679,76.59,83,41,3.65
22,Vardo,NO,2021-11-28 20:00:46,70.3705,31.1107,17.58,86,40,18.41
23,Tuktoyaktuk,CA,2021-11-28 20:00:46,69.4541,-133.0374,-9.4,77,75,17.27
24,East London,ZA,2021-11-28 20:00:33,-33.0153,27.9116,69.44,77,20,5.48
25,Narsaq,GL,2021-11-28 20:00:47,60.9167,-46.05,37.62,100,100,3.09
26,Atuona,PF,2021-11-28 19:55:58,-9.8,-139.0333,78.33,74,1,18.88
27,Punta Arenas,CL,2021-11-28 19:58:38,-53.15,-70.9167,50.11,57,75,29.93
28,Jamestown,US,2021-11-28 19:58:10,42.097,-79.2353,36.72,93,90,12.66
29,Mehamn,NO,2021-11-28 20:00:48,71.0357,27.8492,14.18,92,36,14.47
30,Busselton,AU,2021-11-28 20:00:48,-33.65,115.3333,60.35,85,23,8.59
31,Luancheng,CN,2021-11-28 20:00:49,37.8792,114.6517,42.6,74,100,2.51
32,Turuvekere,IN,2021-11-28 20:00:49,13.1642,76.6667,65.16,95,100,5.79
33,Batsfjord,NO,2021-11-28 20:00:49,70.6345,29.7185,17.6,78,0,19.57
34,Alton,US,2021-11-28 19:58:36,38.8906,-90.1843,45.23,26,27,12.41
35,Ndjole,GA,2021-11-28 20:00:50,-0.1783,10.7649,76.98,92,98,3.76
36,Dikson,RU,2021-11-28 20:00:50,73.5069,80.5464,-15.05,100,100,11.97
37,Rupert,US,2021-11-28 20:00:51,42.6191,-113.6772,54.88,31,5,1.45
38,Ribeira Grande,PT,2021-11-28 20:00:51,38.5167,-28.7,61.2,67,20,6.91
39,Tres Arroyos,AR,2021-11-28 20:00:52,-38.3739,-60.2798,66.78,68,100,8.16
40,Nemuro,JP,2021-11-28 20:00:52,43.3236,145.575,39.92,69,3,10.67
41,Fartatesti,RO,2021-11-28 20:00:52,44.7833,24.0,48.94,80,100,5.95
42,Arraial Do Cabo,BR,2021-11-28 19:58:00,-22.9661,-42.0278,82.36,83,20,6.91
43,Hofn,IS,2021-11-28 20:00:53,64.2539,-15.2082,31.05,98,100,9.15
44,Coquimbo,CL,2021-11-28 20:00:53,-29.9533,-71.3436,64.87,69,4,9.22
45,Hayvoron,UA,2021-11-28 20:00:54,48.3396,29.8679,47.59,96,98,9.42
